127.0.0.1 - - [06/Apr/2020:15:56:30 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:34 +0530] "GET /TutorCabin/ HTTP/1.1" 200 7413
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:36 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/croppie.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:36 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/croppie.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:36 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:36 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.js HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.min.js HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:43 +0530] "GET /TutorCabin/dashboard.html HTTP/1.1" 200 24035
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:45 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:45 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:51 +0530] "GET /TutorCabin/Login.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:52 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:52 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:56:57 +0530] "GET /TutorCabin/Join_As_A_Tutor.html HTTP/1.1" 200 15766
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:58:46 +0530] "POST /TutorCabin/reg_tutor.html HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:05 +0530] "GET /TutorCabin/Login.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:05 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:05 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:20 +0530] "POST /TutorCabin/loginlogic.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:20 +0530] "GET /TutorCabin/studenthome.html HTTP/1.1" 200 24019
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:20 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:20 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/Find_Tutor.html HTTP/1.1" 200 58968
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/images/null HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/images/MaaPaa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/images/Screenshot%20(35).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/images/53155890_317661945557896_6939956595241517056_n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/images/shoaibbruh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/images/mypic.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/images/IMG-20180523-WA0015.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:15:59:23 +0530] "GET /TutorCabin/images/pratibha.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:00:13 +0530] "GET /TutorCabin/searchTutor.html?tutor_subject=Accountancy&tutor_city=Bhopal HTTP/1.1" 200 55989
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:00:59 +0530] "GET /TutorCabin/searchTutor.html?tutor_subject=Accountancy&tutor_city=Indore HTTP/1.1" 200 56507
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:01:12 +0530] "GET /TutorCabin/searchTutor.html?tutor_subject=&tutor_city= HTTP/1.1" 200 55989
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:01:43 +0530] "GET /TutorCabin/Dashboard.html HTTP/1.1" 200 24019
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:01:43 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:01:43 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:01:52 +0530] "GET /TutorCabin/Find_Tutor.html HTTP/1.1" 200 58968
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:01:52 +0530] "GET /TutorCabin/images/null HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:03:38 +0530] "GET /TutorCabin/logout.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:03:38 +0530] "GET /TutorCabin/dashboard.html HTTP/1.1" 200 24035
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:03:38 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:03:38 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:03:46 +0530] "GET /TutorCabin/Join_As_A_Tutor.html HTTP/1.1" 200 15766
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:03:53 +0530] "GET /TutorCabin/Login.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:03:53 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:03:53 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:05:45 +0530] "GET /TutorCabin/Join_As_A_Tutor.html HTTP/1.1" 200 15766
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:03 +0530] "POST /TutorCabin/reg_tutor.html HTTP/1.1" 200 24058
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:03 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:03 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:07 +0530] "GET /TutorCabin/Login.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:07 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:07 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:20 +0530] "POST /TutorCabin/loginlogic.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:20 +0530] "GET /TutorCabin/studenthome.html HTTP/1.1" 200 24019
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:20 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:20 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:23 +0530] "GET /TutorCabin/Find_Tutor.html HTTP/1.1" 200 59266
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:23 +0530] "GET /TutorCabin/images/null HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:23 +0530] "GET /TutorCabin/images/Screenshot%20(7).png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:46 +0530] "GET /TutorCabin/Find_Tutor.html HTTP/1.1" 200 59266
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:46 +0530] "GET /TutorCabin/images/null HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:06:46 +0530] "GET /TutorCabin/images/Screenshot%20(7).png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:07 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:07 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:07 +0530] "GET /TutorCabin/images/TutorCabin.jpg HTTP/1.1" 200 13295
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:07 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/Style.css HTTP/1.1" 200 10799
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:07 +0530] "GET /TutorCabin/Find_Tutor.html HTTP/1.1" 200 59266
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:07 +0530] "GET /TutorCabin/images/shoaibbruh.png HTTP/1.1" 200 1033051
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:07 +0530] "GET /TutorCabin/images/mypic.jpg HTTP/1.1" 200 63299
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:07 +0530] "GET /TutorCabin/images/null HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:08 +0530] "GET /TutorCabin/images/53155890_317661945557896_6939956595241517056_n.jpg HTTP/1.1" 200 58000
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:08 +0530] "GET /TutorCabin/images/Screenshot%20(35).png HTTP/1.1" 200 3014048
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:08 +0530] "GET /TutorCabin/images/pratibha.jpeg HTTP/1.1" 200 139815
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:08 +0530] "GET /TutorCabin/images/Screenshot%20(7).png HTTP/1.1" 200 235313
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:08 +0530] "GET /TutorCabin/images/IMG-20180523-WA0015.jpg HTTP/1.1" 200 79593
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:08 +0530] "GET /TutorCabin/images/MaaPaa.png HTTP/1.1" 200 1058002
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:08 +0530] "GET /TutorCabin/images/null HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:07:09 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/Style.css HTTP/1.1" 200 10799
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/images/TutorCabin.jpg HTTP/1.1" 200 13295
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/Find_Tutor.html HTTP/1.1" 200 59464
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/images/shoaibbruh.png HTTP/1.1" 200 1033051
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/images/mypic.jpg HTTP/1.1" 200 63299
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/images/null HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/images/53155890_317661945557896_6939956595241517056_n.jpg HTTP/1.1" 200 58000
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/images/Screenshot%20(35).png HTTP/1.1" 200 3014048
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/images/MaaPaa.png HTTP/1.1" 200 1058002
0:0:0:0:0:0:0:1 - - [06/Apr/2020:16:09:03 +0530] "GET /TutorCabin/images/IMG-20180523-WA0015.jpg HTTP/1.1" 200 79593
