127.0.0.1 - - [02/May/2020:17:34:30 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:37 +0530] "GET /TutorCabin/index.jsp HTTP/1.1" 200 8950
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:38 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:38 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap-grid.css HTTP/1.1" 200 67871
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:38 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.css HTTP/1.1" 200 197170
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:38 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/Style.css HTTP/1.1" 200 11910
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:39 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:39 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.js HTTP/1.1" 200 135079
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:39 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.bundle.js HTTP/1.1" 200 227980
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:39 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.bundle.min.js HTTP/1.1" 200 80698
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:39 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.min.js HTTP/1.1" 200 96717
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:49 +0530] "GET /TutorCabin/images/TutorCabin.jpg HTTP/1.1" 200 13295
0:0:0:0:0:0:0:1 - - [02/May/2020:17:34:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:35 +0530] "GET /TutorCabin/Login.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:35 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:36 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/signup&login_cssR.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:36 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:53 +0530] "POST /TutorCabin/TutorloginPage.html HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:53 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:53 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:58 +0530] "POST /TutorCabin/loginlogic.html HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [02/May/2020:17:35:58 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [02/May/2020:17:36:07 +0530] "POST /TutorCabin/TutorloginPage.html HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [02/May/2020:17:36:07 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [02/May/2020:17:36:14 +0530] "POST /TutorCabin/TutorloginPage.html HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [02/May/2020:17:36:14 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:05 +0530] "POST /TutorCabin/TutorloginPage.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:05 +0530] "GET /TutorCabin/loginTutorCheck.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:06 +0530] "GET /TutorCabin/dashboard.html HTTP/1.1" 200 26103
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:07 +0530] "GET /TutorCabin/images/mypic.jpg HTTP/1.1" 200 63299
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:07 +0530] "GET /TutorCabin/images/Images-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:07 +0530] "GET /TutorCabin/images/Images-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:07 +0530] "GET /TutorCabin/images/Images-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:07 +0530] "GET /TutorCabin/images/Images-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:07 +0530] "GET /TutorCabin/images/Images-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:07 +0530] "GET /TutorCabin/images/Images-5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:07 +0530] "GET /TutorCabin/images/Images-7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:08 +0530] "GET /TutorCabin/images/imageedit_8_7759839840.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:08 +0530] "GET /TutorCabin/images/Images-8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:08 +0530] "GET /TutorCabin/images/144763921160125_small.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:08 +0530] "GET /TutorCabin/images/imageedit_3_74968451222.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2020:17:38:08 +0530] "GET /TutorCabin/images/holding_hand_small.jpg HTTP/1.1" 304 -
