127.0.0.1 - - [06/Jun/2020:16:28:08 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:32 +0530] "GET /TutorCabin/index.jsp HTTP/1.1" 200 9744
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap-grid.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/Style.css HTTP/1.1" 200 11910
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/croppie.min.js HTTP/1.1" 200 96717
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:28:37 +0530] "GET /TutorCabin/images/TutorCabin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:04 +0530] "GET /TutorCabin/dashboard.html HTTP/1.1" 200 26719
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/Images-1.jpg HTTP/1.1" 200 76091
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/Images-4.jpg HTTP/1.1" 200 151124
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/Images-5.jpg HTTP/1.1" 200 77759
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/Images-6.jpg HTTP/1.1" 200 112412
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/Images-2.jpg HTTP/1.1" 200 104094
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/Images-3.jpg HTTP/1.1" 200 84228
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/Images-7.jpg HTTP/1.1" 200 106911
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/Images-8.jpg HTTP/1.1" 200 127465
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/imageedit_8_7759839840.jpg HTTP/1.1" 200 44828
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/144763921160125_small.jpg HTTP/1.1" 200 10143
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/imageedit_3_74968451222.jpg HTTP/1.1" 200 16611
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/ben-knapen-906550_960_720-final216.jpg HTTP/1.1" 200 5856
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/holding_hand_small.jpg HTTP/1.1" 200 23158
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/images/12439421_501312913408362_8906112100997727489_n-150x150.jpg HTTP/1.1" 200 5798
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:05 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:12 +0530] "GET /TutorCabin/Login.html HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:12 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:12 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/signup&login_cssR.css HTTP/1.1" 200 1582
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:13 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:30 +0530] "POST /TutorCabin/TutorloginPage.html HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:30 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/animate.css HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:29:30 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/book5.jpg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:41:47 +0530] "POST /TutorCabin/loginlogic.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:41:47 +0530] "GET /TutorCabin/studenthome.html HTTP/1.1" 200 26703
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:41:48 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-left.png HTTP/1.1" 404 1162
0:0:0:0:0:0:0:1 - - [06/Jun/2020:16:41:48 +0530] "GET /TutorCabin/bootstrap-4.4.1-dist/css/assets/images/page-leaf-right.png HTTP/1.1" 404 1163
